depid,h0e,h1e,h2e,h3e,h4e,year
67,19,18,178,65,10,2008
68 ,26,8,146,74,8,2008
24 ,32,19,108,55,13,2008
33 ,31,18,139,58,17,2008
40 ,16,16,116,25,4,2008
47 ,11,7,46,8,3,2008
64 ,48,23,200,71,16,2008
03 ,12,15,76,11,4,2008
15 ,26,15,97,17,1,2008
43 ,10,17,56,16,3,2008
63 ,26,33,193,26,1,2008
14 ,38,21,143,61,9,2008
50 ,12,17,92,29,1,2008
61 ,2,13,62,7,2,2008
21 ,23,14,111,55,17,2008
58 ,7,8,54,13,1,2008
71 ,28,18,98,41,4,2008
89 ,16,8,57,17,4,2008
22 ,14,16,106,29,4,2008
29 ,14,9,149,51,2,2008
35 ,28,29,161,51,5,2008
56 ,17,19,141,45,10,2008
18 ,14,11,46,11,0,2008
28 ,11,12,25,10,2,2008
36 ,16,2,48,10,1,2008
37 ,26,16,100,32,18,2008
41 ,15,14,68,27,2,2008
45,26,17,81,18,4,2008
08,4,6,27,5,0,2008
10,9,2,32,23,3,2008
51,11,13,64,25,9,2008
52,10,9,45,7,0,2008
2A,16,10,79,77,21,2008
2B,22,5,72,66,5,2008
25,18,5,95,17,0,2008
39,17,9,80,13,2,2008
70,3,5,25,8,1,2008
90,4,1,11,4,0,2008
27,15,2,47,16,6,2008
76,50,13,114,31,3,2008
75,42,108,538,595,193,2008
77,40,12,71,30,13,2008
78,34,10,50,32,7,2008
91,34,7,40,19,1,2008
92,19,15,75,51,12,2008
93,31,9,40,21,0,2008
94,20,9,47,25,1,2008
95,28,10,45,17,9,2008
11,18,14,69,30,2,2008
30,17,13,107,48,7,2008
34,27,14,146,74,4,2008
48,18,13,80,16,1,2008
66,10,16,124,45,6,2008
19,12,9,78,13,1,2008
23,12,4,26,3,0,2008
87,17,18,55,9,2,2008
54,25,4,41,13,3,2008
55,3,4,32,3,1,2008
57,25,4,80,18,3,2008
88,25,10,110,27,4,2008
09,11,3,47,9,1,2008
12,24,14,105,31,2,2008
31,21,32,123,36,10,2008
32,7,13,40,8,1,2008
46,14,13,80,37,4,2008
65,41,44,184,101,7,2008
81,12,8,48,20,5,2008
82,5,4,30,6,1,2008
59,45,10,106,39,11,2008
62,31,12,109,34,11,2008
44,30,34,118,44,10,2008
49,20,7,88,15,4,2008
53,6,5,30,9,0,2008
72,15,12,48,14,3,2008
85,24,15,109,25,1,2008
02,15,5,42,13,3,2008
60,18,2,40,20,5,2008
80,9,7,47,20,0,2008
16,6,4,42,12,2,2008
17,27,20,163,44,4,2008
79,5,1,56,5,0,2008
86,16,10,62,18,2,2008
04,10,7,84,21,4,2008
05,24,22,131,22,0,2008
06,49,43,261,203,90,2008
13,38,29,202,109,41,2008
83,37,32,192,132,38,2008
84,24,12,107,56,17,2008
01,19,18,86,18,8,2008
07,16,13,93,21,2,2008
26,31,20,91,31,4,2008
38,22,23,167,50,7,2008
42,21,8,64,13,1,2008
69,30,19,134,57,18,2008
73,36,34,231,119,32,2008
74,66,30,326,138,34,2008
