depid,h0e,h1e,h2e,h3e,h4e,year
67,19,19,185,64,9,2007
68 ,29,8,149,73,8,2007
24 ,34,21,108,53,13,2007
33 ,33,16,141,57,13,2007
40 ,17,16,114,24,4,2007
47 ,10,7,47,8,3,2007
64 ,49,25,203,70,16,2007
03 ,11,19,81,10,4,2007
15 ,26,20,97,16,0,2007
43 ,13,19,58,16,1,2007
63 ,27,40,197,25,1,2007
14 ,40,20,143,60,9,2007
50 ,12,18,92,29,1,2007
61 ,3,13,65,10,1,2007
21 ,21,16,111,55,17,2007
58 ,7,9,56,14,1,2007
71 ,29,23,98,42,4,2007
89 ,18,8,60,18,4,2007
22 ,12,15,110,28,4,2007
29 ,13,11,151,47,2,2007
35 ,28,30,160,50,4,2007
56 ,17,20,141,43,9,2007
18 ,16,12,50,10,0,2007
28 ,12,13,24,10,2,2007
36 ,17,5,49,10,1,2007
37 ,29,17,103,32,18,2007
41 ,16,14,68,25,2,2007
45,28,16,81,17,4,2007
08,4,6,28,5,0,2007
10,8,3,30,21,4,2007
51,11,14,66,22,9,2007
52,10,8,43,8,0,2007
2A,18,10,84,72,19,2007
2B,22,7,77,61,4,2007
25,17,5,95,17,0,2007
39,15,10,75,14,2,2007
70,4,6,26,7,1,2007
90,5,1,11,4,0,2007
27,16,2,49,17,6,2007
76,59,12,115,31,3,2007
75,42,113,547,597,183,2007
77,42,13,71,29,12,2007
78,34,11,50,32,7,2007
91,38,7,40,19,1,2007
92,19,16,76,50,12,2007
93,33,9,39,21,0,2007
94,24,9,46,25,1,2007
95,29,11,45,17,9,2007
11,21,14,68,30,2,2007
30,17,14,107,45,8,2007
34,27,16,147,74,4,2007
48,19,13,81,16,1,2007
66,11,16,128,44,6,2007
19,12,9,76,12,1,2007
23,11,4,27,2,0,2007
87,14,19,48,9,2,2007
54,25,5,42,12,3,2007
55,4,4,34,3,1,2007
57,26,4,81,17,3,2007
88,26,11,116,27,4,2007
09,11,4,44,9,1,2007
12,26,15,103,32,2,2007
31,21,34,122,36,8,2007
32,6,10,42,7,1,2007
46,14,15,79,36,4,2007
65,42,50,191,101,7,2007
81,12,8,47,19,5,2007
82,6,3,31,6,1,2007
59,43,12,105,40,11,2007
62,34,13,113,35,11,2007
44,30,33,119,43,9,2007
49,20,7,88,16,4,2007
53,6,5,30,9,0,2007
72,13,13,47,15,2,2007
85,24,15,111,25,0,2007
02,15,5,41,13,3,2007
60,18,3,42,20,5,2007
80,9,7,46,20,0,2007
16,7,4,42,12,2,2007
17,27,22,164,44,3,2007
79,5,2,55,5,0,2007
86,16,10,63,18,2,2007
04,10,7,87,22,4,2007
05,28,24,138,23,0,2007
06,53,47,267,201,90,2007
13,38,32,207,111,41,2007
83,41,32,200,133,40,2007
84,24,12,108,56,17,2007
01,16,20,89,18,8,2007
07,17,14,97,21,2,2007
26,33,22,93,29,4,2007
38,21,24,164,54,7,2007
42,21,9,65,13,1,2007
69,30,21,136,56,18,2007
73,31,34,241,122,31,2007
74,75,32,341,134,32,2007
